Event Id, Locations
1, Instagram
1, Bulletin
1, Coffman
1, 17th_Ave
1, Bailey
1, Centennial
1, Comstock
1, Frontier
1, Keeler
1, Middlebrook
1, Pioneer
1, Radius
1, Sanford
1, Territorial
1, Wilkins
1, Yudof
1, Appleby
1, Armory
1, Akerman
1, Burton 
1, Church
1, Ford 
1, Fraser 
1, Johnston 
1, Jones 
1, Keller 
1, Kolthoff 
1, Lind
1, Mechanical
1, Molecular
1, Morrill 
1, Northrop
1, Smith 
1, Tate 
1, Vincent
1, Walter
1, Weisman
1, Anderson 
1, Carlson 
1, Ferguson 
1, Hanson 
1, Humphrey
1, Mondale 
1, Rarig
1, Regis
1, Social_Sciences
1, Ted_Mann
1, Wilson
1, Willey
1, Pillars
1, Bridge_East
1, Bridge_West
1, Mayo
1, Rec
1, Dinkytown
1, Stadium_Village
1, StPaul



